timestamp(ms);ADC;ADC>ADC;
"1769551388.476";"180";;
"1769551388.478";"178";;
"1769551388.48";"186";;
"1769551388.482";"176";;
"1769551388.484";"178";;
"1769551388.486";"180";;
"1769551388.488";"180";;
"1769551388.49";"174";;
"1769551388.492";"174";;
"1769551388.494";"175";;
"1769551388.496";"178";;
"1769551388.498";"177";;
"1769551388.5";"182";;
"1769551388.502";"178";;
"1769551388.504";"179";;
"1769551388.506";"178";;
"1769551388.508";"176";;
"1769551388.51";"178";;
"1769551388.512";"179";;
"1769551388.514";"167";;
"1769551388.516";"176";;
"1769551388.518";"177";;
"1769551388.52";"181";;
"1769551388.522";"181";;
"1769551388.524";"179";;
"1769551388.526";"170";;
"1769551388.528";"176";;
"1769551388.53";"181";;
"1769551388.532";"178";;
"1769551388.534";"186";;
"1769551388.536";"177";;
"1769551388.538";"178";;
"1769551388.54";"179";;
"1769551388.542";"175";;
"1769551388.544";"172";;
"1769551388.546";"181";;
"1769551388.548";"162";;
"1769551388.55";"177";;
"1769551388.552";"176";;
"1769551388.554";"177";;
"1769551388.556";"179";;
"1769551388.558";"181";;
"1769551388.56";"169";;
"1769551388.562";"178";;
"1769551388.564";"178";;
"1769551388.566";"176";;
"1769551388.568";"181";;
"1769551388.57";"177";;
"1769551388.572";"178";;
"1769551388.574";"174";;
"1769551388.576";"178";;
"1769551388.578";"175";;
"1769551388.58";"176";;
"1769551388.582";"176";;
"1769551388.584";"175";;
"1769551388.586";"169";;
"1769551388.588";"177";;
"1769551388.59";"176";;
"1769551388.592";"178";;
"1769551388.594";"179";;
"1769551388.596";"177";;
"1769551388.598";"179";;
"1769551388.6";"181";;
"1769551388.602";"181";;
"1769551388.604";"173";;
"1769551388.606";"176";;
"1769551388.608";"186";;
"1769551388.61";"180";;
"1769551388.612";"178";;
"1769551388.614";"179";;
"1769551388.616";"173";;
"1769551388.618";"176";;
"1769551388.62";"177";;
"1769551388.622";"178";;
"1769551388.624";"178";;
"1769551388.626";"175";;
"1769551388.628";"172";;
"1769551388.63";"176";;
"1769551388.632";"174";;
"1769551388.634";"178";;
"1769551388.636";"178";;
"1769551388.638";"178";;
"1769551388.64";"178";;
"1769551388.642";"178";;
"1769551388.644";"178";;
"1769551388.646";"176";;
"1769551388.648";"178";;
"1769551388.65";"174";;
"1769551388.652";"180";;
"1769551388.654";"175";;
"1769551388.656";"175";;
"1769551388.658";"175";;
"1769551388.66";"171";;
"1769551388.662";"188";;
"1769551388.664";"181";;
"1769551388.666";"177";;
"1769551388.668";"176";;
"1769551388.67";"180";;
"1769551388.672";"179";;
"1769551388.674";"180";;
"1769551388.676";"177";;
"1769551388.678";"178";;
"1769551388.68";"179";;
"1769551388.682";"178";;
"1769551388.684";"180";;
"1769551388.686";"172";;
"1769551388.688";"175";;
"1769551388.69";"174";;
"1769551388.692";"177";;
"1769551388.694";"174";;
"1769551388.696";"179";;
"1769551388.698";"178";;
"1769551388.7";"178";;
"1769551388.702";"197";;
"1769551388.704";"179";;
"1769551388.706";"178";;
"1769551388.708";"177";;
"1769551388.71";"181";;
"1769551388.712";"176";;
"1769551388.714";"177";;
"1769551388.716";"176";;
"1769551388.718";"181";;
"1769551388.72";"178";;
"1769551388.722";"177";;
"1769551388.724";"181";;
"1769551388.726";"177";;
"1769551388.728";"177";;
"1769551388.73";"178";;
"1769551388.732";"179";;
"1769551388.734";"176";;
"1769551388.736";"177";;
"1769551388.738";"175";;
"1769551388.74";"175";;
"1769551388.742";"175";;
"1769551388.744";"176";;
"1769551388.746";"174";;
"1769551388.748";"176";;
"1769551388.75";"175";;
"1769551388.752";"178";;
"1769551388.754";"173";;
"1769551388.756";"178";;
"1769551388.758";"177";;
"1769551388.76";"181";;
"1769551388.762";"173";;
"1769551388.764";"174";;
"1769551388.766";"184";;
"1769551388.768";"177";;
"1769551388.77";"175";;
"1769551388.772";"178";;
"1769551388.774";"179";;
"1769551388.776";"179";;
"1769551388.778";"178";;
"1769551388.78";"176";;
"1769551388.782";"180";;
"1769551388.784";"180";;
"1769551388.786";"177";;
"1769551388.788";"176";;
"1769551388.79";"180";;
"1769551388.792";"179";;
"1769551388.794";"179";;
"1769551388.796";"178";;
"1769551388.798";"179";;
"1769551388.8";"179";;
"1769551388.802";"176";;
"1769551388.804";"177";;
"1769551388.806";"177";;
"1769551388.808";"174";;
"1769551388.81";"177";;
"1769551388.812";"177";;
"1769551388.814";"177";;
"1769551388.816";"175";;
"1769551388.818";"178";;
"1769551388.82";"174";;
"1769551388.822";"177";;
"1769551388.824";"181";;
"1769551388.826";"176";;
"1769551388.828";"177";;
"1769551388.83";"176";;
"1769551388.832";"175";;
"1769551388.834";"177";;
"1769551388.836";"176";;
"1769551388.838";"179";;
"1769551388.84";"179";;
"1769551388.842";"178";;
"1769551388.844";"181";;
"1769551388.846";"175";;
"1769551388.848";"180";;
"1769551388.85";"182";;
"1769551388.852";"176";;
"1769551388.854";"173";;
"1769551388.856";"179";;
"1769551388.858";"178";;
"1769551388.86";"177";;
"1769551388.862";"183";;
"1769551388.864";"183";;
"1769551388.866";"178";;
"1769551388.868";"178";;
"1769551388.87";"178";;
"1769551388.872";"178";;
"1769551388.874";"176";;
"1769551388.876";"177";;
"1769551388.878";"178";;
"1769551388.88";"176";;
"1769551388.882";"188";;
"1769551388.884";"177";;
"1769551388.886";"177";;
"1769551388.888";"176";;
"1769551388.89";"176";;
"1769551388.892";"176";;
"1769551388.894";"176";;
"1769551388.896";"182";;
"1769551388.898";"174";;
"1769551388.9";"177";;
"1769551388.902";"183";;
"1769551388.904";"176";;
"1769551388.906";"171";;
"1769551388.908";"177";;
"1769551388.91";"182";;
"1769551388.912";"176";;
"1769551388.914";"180";;
"1769551388.916";"177";;
"1769551388.918";"176";;
"1769551388.92";"176";;
"1769551388.922";"181";;
"1769551388.924";"177";;
"1769551388.926";"170";;
"1769551388.928";"181";;
"1769551388.93";"180";;
"1769551388.932";"174";;
"1769551388.934";"179";;
"1769551388.936";"183";;
"1769551388.938";"178";;
"1769551388.94";"176";;
"1769551388.942";"177";;
"1769551388.944";"177";;
"1769551388.946";"175";;
"1769551388.948";"182";;
"1769551388.95";"176";;
"1769551388.952";"181";;
"1769551388.954";"179";;
"1769551388.956";"176";;
"1769551388.958";"177";;
"1769551388.96";"177";;
"1769551388.962";"178";;
"1769551388.964";"176";;
"1769551388.966";"177";;
"1769551388.968";"180";;
"1769551388.97";"175";;
"1769551388.972";"168";;
"1769551388.974";"176";;
"1769551388.976";"165";;
"1769551388.978";"177";;
"1769551388.98";"175";;
"1769551388.982";"178";;
"1769551388.984";"180";;
"1769551388.986";"179";;
"1769551388.988";"180";;
"1769551388.99";"175";;
"1769551388.992";"181";;
"1769551388.994";"174";;
"1769551388.996";"177";;
"1769551388.998";"177";;
"1769551389";"176";;
"1769551389.002";"174";;
"1769551389.004";"179";;
"1769551389.006";"174";;
"1769551389.008";"177";;
"1769551389.01";"173";;
"1769551389.012";"177";;
"1769551389.014";"176";;
"1769551389.016";"176";;
"1769551389.018";"178";;
"1769551389.02";"178";;
"1769551389.022";"178";;
"1769551389.024";"176";;
"1769551389.026";"178";;
"1769551389.028";"175";;
"1769551389.03";"177";;
"1769551389.032";"177";;
"1769551389.034";"174";;
"1769551389.036";"179";;
"1769551389.038";"178";;
"1769551389.04";"176";;
"1769551389.042";"180";;
"1769551389.044";"179";;
"1769551389.046";"179";;
"1769551389.048";"178";;
"1769551389.05";"178";;
"1769551389.052";"174";;
"1769551389.054";"179";;
"1769551389.056";"176";;
"1769551389.058";"176";;
"1769551389.06";"179";;
"1769551389.062";"180";;
"1769551389.064";"174";;
"1769551389.066";"177";;
"1769551389.068";"178";;
"1769551389.07";"178";;
"1769551389.072";"176";;
"1769551389.074";"175";;
"1769551389.076";"174";;
"1769551389.078";"180";;
"1769551389.08";"179";;
"1769551389.082";"179";;
"1769551389.084";"182";;
"1769551389.086";"175";;
"1769551389.088";"189";;
"1769551389.09";"178";;
"1769551389.092";"176";;
"1769551389.094";"181";;
"1769551389.096";"176";;
"1769551389.098";"178";;
"1769551389.1";"181";;
"1769551389.102";"187";;
"1769551389.104";"179";;
"1769551389.106";"181";;
"1769551389.108";"178";;
"1769551389.11";"178";;
